shock,coalition_share,mean_support,t
False,0.0,0.38442098432994165,0
False,0.4632878467975296,0.6239792240353691,1
False,1.0,0.8637880479352219,2
False,1.0,0.9727576095870444,3
False,1.0,0.9945515219174089,4
False,1.0,0.9989103043834818,5
False,1.0,0.9997820608766964,6
True,1.0,0.9999564121753394,7
False,1.0,0.9999912824350681,8
False,1.0,0.9999982564870137,9
False,1.0,0.9999996512974028,10
False,1.0,0.9999999302594805,11
True,1.0,0.9999999860518962,12
False,1.0,0.9999999972103795,13
False,1.0,0.999999999442076,14
False,1.0,0.9999999998884151,15
False,1.0,0.9999999999776831,16
False,1.0,0.9999999999955367,17
False,1.0,0.9999999999991075,18
False,1.0,0.9999999999998217,19
False,1.0,0.9999999999999644,20
False,1.0,0.9999999999999929,21
False,1.0,0.9999999999999988,22
True,1.0,0.9999999999999998,23
True,1.0,1.0,24
False,1.0,1.0,25
True,1.0,1.0,26
False,1.0,1.0,27
True,1.0,1.0,28
False,1.0,1.0,29
False,1.0,1.0,30
False,1.0,1.0,31
False,1.0,1.0,32
False,1.0,1.0,33
False,1.0,1.0,34
False,1.0,1.0,35
True,1.0,1.0,36
True,1.0,1.0,37
False,1.0,1.0,38
False,1.0,1.0,39
False,1.0,1.0,40
False,1.0,1.0,41
False,1.0,1.0,42
False,1.0,1.0,43
False,1.0,1.0,44
False,1.0,1.0,45
True,1.0,1.0,46
False,1.0,1.0,47
False,1.0,1.0,48
True,1.0,1.0,49
True,1.0,1.0,50
False,1.0,1.0,51
False,1.0,1.0,52
False,1.0,1.0,53
False,1.0,1.0,54
False,1.0,1.0,55
False,1.0,1.0,56
False,1.0,1.0,57
True,1.0,1.0,58
True,1.0,1.0,59
False,1.0,1.0,60
False,1.0,1.0,61
False,1.0,1.0,62
False,1.0,1.0,63
False,1.0,1.0,64
False,1.0,1.0,65
False,1.0,1.0,66
False,1.0,1.0,67
False,1.0,1.0,68
False,1.0,1.0,69
False,1.0,1.0,70
False,1.0,1.0,71
False,1.0,1.0,72
False,1.0,1.0,73
False,1.0,1.0,74
False,1.0,1.0,75
False,1.0,1.0,76
True,1.0,1.0,77
True,1.0,1.0,78
False,1.0,1.0,79
True,1.0,1.0,80
False,1.0,1.0,81
False,1.0,1.0,82
True,1.0,1.0,83
False,1.0,1.0,84
False,1.0,1.0,85
False,1.0,1.0,86
False,1.0,1.0,87
True,1.0,1.0,88
True,1.0,1.0,89
True,1.0,1.0,90
False,1.0,1.0,91
True,1.0,1.0,92
False,1.0,1.0,93
False,1.0,1.0,94
False,1.0,1.0,95
False,1.0,1.0,96
False,1.0,1.0,97
False,1.0,1.0,98
False,1.0,1.0,99
True,1.0,1.0,100
False,1.0,1.0,101
False,1.0,1.0,102
False,1.0,1.0,103
False,1.0,1.0,104
False,1.0,1.0,105
True,1.0,1.0,106
False,1.0,1.0,107
False,1.0,1.0,108
True,1.0,1.0,109
False,1.0,1.0,110
True,1.0,1.0,111
False,1.0,1.0,112
True,1.0,1.0,113
False,1.0,1.0,114
False,1.0,1.0,115
False,1.0,1.0,116
False,1.0,1.0,117
False,1.0,1.0,118
False,1.0,1.0,119
